"","rec_id","sensor_id","study_site"
"1",409,"B4085BC6","Manhiça"
"2",416,"74AB3804","Manhiça"
"3",419,"74289254","Manhiça"
"4",446,"92C8407A","Manhiça"
"5",469,"0D9F0693","Manhiça"
"6",477,"DAFFE02B","Manhiça"
"7",485,"E1A6B1DE","Manhiça"
"8",522,"CDBO1555","Manhiça"
"9",714,"FEF743B7","Manhiça"
"10",787,"D5401F13","Manhiça"
"11",825,"F43FE559","Manhiça"
"12",826,"3EA3B441","Manhiça"
"13",837,"70A31CC7","Manhiça"
"14",847,"9FDAO8E8","Manhiça"
"15",851,"E8CD7648","Manhiça"
"16",857,"2BCCD1C5","Manhiça"
"17",881,"3777B3F2","Manhiça"
"18",883,"5AE89A51","Manhiça"
"19",892,"F17A9446","Manhiça"
"20",927,"0C0516EA","Manhiça"
"21",929,"53068F21","Manhiça"
"22",938,"FEBB80F9","Manhiça"
"23",987,"E743747F","Manhiça"
"24",1000,"B84335BO","Manhiça"
"25",1051,"7D0FAB23","Manhiça"
"26",1069,"DEF297AF","Manhiça"
"27",1092,"E40CEEDE","Manhiça"
"28",1169,"FFEFD46D","Manhiça"
"29",1212,"24F443FB","Manhiça"
"30",1235,"25085364","Manhiça"
"31",1268,"E96B3013","Manhiça"
"32",1295,"834238CE","Manhiça"
"33",1299,"43BE9338","Manhiça"
"34",1331,"6F809378","Manhiça"
"35",1353,"F7AA9B6A","Manhiça"
"36",1377,"ADD8D142","Manhiça"
"37",1402,"ED88F3BC","Manhiça"
"38",1419,"B5349CD7","Manhiça"
"39",1420,"256E23CB","Manhiça"
"40",1427,"3CCF6E22","Manhiça"
"41",1438,"030D199D","Manhiça"
"42",1447,"D5401713","Manhiça"
"43",1465,"295C4781","Manhiça"
"44",1558,"67B99933","Manhiça"
"45",1574,"ADD16571","Manhiça"
"46",1591,"2D2EAFAA","Manhiça"
"47",1659,"7074A528","Manhiça"
"48",1669,"4A4AADA5","Manhiça"
"49",1695,"645D507B","Manhiça"
"50",1700,"63DD40BD","Manhiça"
"51",1815,"60573963","Manhiça"
"52",6844,"B84335B0","Manhiça"
"53",407,"FA7EB708","Manhiça"
"54",408,"946F180C","Manhiça"
"55",414,"E4A60DBA","Manhiça"
"56",420,"144BFE90","Manhiça"
"57",423,"802D79CE","Manhiça"
"58",443,"2B163D28","Manhiça"
"59",444,"837D4926","Manhiça"
"60",445,"37623D02","Manhiça"
"61",467,"D2510EC4","Manhiça"
"62",476,"F7C6FA98","Manhiça"
"63",479,"77AD067C","Manhiça"
"64",482,"C9590E30","Manhiça"
"65",486,"90E21EEC","Manhiça"
"66",487,"351AF43F","Manhiça"
"67",523,"3023EF9B","Manhiça"
"68",524,"E7BCC7A6","Manhiça"
"69",526,"97BE8FF3","Manhiça"
"70",528,"B2F44820","Manhiça"
"71",529,"096B42CF","Manhiça"
"72",530,"EB1D0ABF","Manhiça"
"73",715,"D360933D","Manhiça"
"74",757,"6B4F691B","Manhiça"
"75",763,"732DFD29","Manhiça"
"76",782,"1CF914E0","Manhiça"
"77",786,"CDB01555","Manhiça"
"78",824,"6O4842FC","Manhiça"
"79",839,"71E15B45","Manhiça"
"80",844,"9B94F05O","Manhiça"
"81",850,"D26BEBBE","Manhiça"
"82",875,"O3OD199D","Manhiça"
"83",925,"7B94F050","Manhiça"
"84",989,"7O74A528","Manhiça"
"85",993,"D54O1F13","Manhiça"
"86",1002,"144BFE9O","Manhiça"
"87",1064,"D36O933D","Manhiça"
"88",1091,"256E25CB","Manhiça"
"89",1093,"6D573963","Manhiça"
"90",1095,"25O85364","Manhiça"
"91",1160,"62D78CD2","Manhiça"
"92",1168,"3E46FA85","Manhiça"
"93",1211,"9FDA08E8","Manhiça"
"94",1222,"645D5O7B","Manhiça"
"95",1224,"84085BC6","Manhiça"
"96",1240,"ADF8D142","Manhiça"
"97",1266,"604842FC","Manhiça"
"98",1293,"6AA77C79","Manhiça"
"99",1294,"63DD4OBD","Manhiça"
"100",1298,"37623DO2","Manhiça"
"101",1660,"OD9F0693","Manhiça"
